Year,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform,Faecal Coliform,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium
2016,8.1,650,0,16,0,0,249,249,110,0.0,0,82,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.3,1520,0,16,0,0,630,3,170,0.0,0,110,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.0,1230,0,8,0,0,590,6,210,0.0,0,180,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7.7,830,0,8,0,0,560,5,210,0.0,0,140,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8.3,960,0,12,0,0,530,10,160,0.0,0,130,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7.6,960,0,1480,0,0,810,2,120,0.0,0,105,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7.7,550,0,0,0,0,290,4,115,0.0,0,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2019,7.7,760,0,8,0,0,415,11,270,0.0,0,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2019,7.1,1510,0,12,0,0,790,12,160,0.0,0,170,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
2020,7.2,1570,0,0,0,0,890,0,290,0.5,0,150,40,60,34.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,70
2020,7.6,1560,0,4,0,0,910,3,185,0.1,0,155,38,19.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1
2021,7.5,1570,0,0,0,0,925,4,175,0.1,0,150,44,20.7,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3
2021,7.0,1520,0,0,0,0,808,8,115,0.0,0,80,29.3,49.1,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2
2022,7.1,1580,0,0,6.1,0,848,9,125,0.0,0,95,38.6,55.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6
2016,8.1,960,0,24,0,0,363,4,105,0.0,0,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.4,1460,0,20,0,0,590,5,150,0.0,0,100,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.2,1160,0,4,0,0,560,4,175,0.0,0,185,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7.8,790,0,16,0,0,575,6,200,0.0,0,170,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8.2,950,0,12,0,0,524,9,180,0.0,0,160,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7.3,1460,0,8,0,0,810,4,300,0.0,0,95,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8.0,790,0,4,0,0,422,6,290,0.0,0,115,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
2019,6.8,1510,0,4,0,0,780,8,310,0.0,0,140,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2020,7.6,1530,0,4,0,0,890,0,170,0.3,0,140,41,28,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2020,7.1,1630,0,0,0,0,860,0,210,0.2,0,170,48,23.3,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3
2021,7.2,1710,0,0,0,0,845,0,195,0.1,0,160,52,21.9,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.1
2021,7.4,1410,0,0,0,0,744,5,130,0.0,0,95,35.4,59.2,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8
2022,7.3,1350,0,0,6.0,0,712,7,115,0.0,0,80,35.2,49.6,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8
2019,8.3,2340,0,0,0,0,1240,7,75,0.0,0,105,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7.2,1490,0,0,0,0,760,9,110,0.0,0,95,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
2020,7.2,1880,0,0,0,0,1010,0,350,0.2,0,0,0,76,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7.6,1780,0,0,0,0,1075,0,145,0.3,0,85,22,16.7,9.4,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,49.2
2021,7.4,1590,0,0,0,0,748,5,140,0.0,0,110,36,63.3,11.2,0,0,0,0,0,0,2100,160,0,0,0,0,0,0,0,45.1
2022,7.0,1410,0,0,6.0,0,776,8,135,0.0,0,105,36.4,40.3,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6
2019,7.4,590,0,0,0,0,260,9,95,0.0,0,40,8,22,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,12
2020,7.6,740,0,0,0,0,390,6,110,0.7,0,40,20,26.4,10.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,24
2020,7.2,810,0,0,0,0,415,5,145,0.0,0,70,28,18.1,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4
2021,7.1,840,0,0,0,0,430,3,150,0.0,0,75,34,17.3,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1
2021,7.2,1260,0,0,0,0,672,4,120,0.0,0,90,29.2,45.1,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2022,7.2,1220,0,0,6.1,0,642,6,115,0.0,0,80,22.8,40.3,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4
2023,7.6,1197,0,101,0,0,672,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2024,7.5,1193,0,99,0,0,669,6,186,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2025,7.6,1197,0,100,0,0,672,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2026,7.5,1198,0,101,0,0,674,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2027,7.5,1194,0,100,0,0,672,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2028,7.6,1193,0,100,0,0,672,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2029,7.5,1195,0,100,0,0,670,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2030,7.6,1197,0,100,0,0,671,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2031,7.5,1194,0,100,0,0,671,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2032,7.6,1195,0,100,0,0,671,6,187,0.1,0,110,34,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35