Year,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform,Faecal Coliform,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium,Potassium
2016,7.6,2330,2,16,0,0,930,22,390,0.4,0,220,58,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
2016,8.4,2380,4,44,0,0,830,23,280,0.0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8.2,1040,0,12,0,0,670,8,115,0.0,0,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7.5,1260,0,8,0,0,690,6,140,0.0,0,160,40,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
2018,6.6,2200,0,12,0,0,1170,7,145,0.0,0,105,45,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
2019,7.1,2030,4,24,0,0,1110,10,115,0.0,0,75,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
2019,7.1,2660,0,12,0,0,1430,11,210,0.0,0,160,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0
2019,7.1,1910,0,0,0,0,1050,10,115,0.0,0,65,0,0,0,0,0,0,0,0,0,0,0,0.4,0,58,0,0,0,0,0,0
2019,6.9,750,0,8,0,0,390,10,50,0.0,0,30,0,12,7.0,0,0,0,0,0,0,0,0,0.5,0,35,0,0,0,0,0,0
2019,6.8,0,0,8,0,0,410,10,75,0.0,0,45,0,10,5.0,0,0,0,0,0,0,0,0,0.4,0,38,0,0,0,0,0,0
2019,6.9,970,0,0,0,0,480,6,60,0.0,0,40,0,12,6.0,0,0,0,0,0,0,0,0,0.5,0,30,0,0,0,0,0,0
2020,7.3,1040,0,4,0,0,530,7,85,0.0,0,65,24,21.6,13.2,0,0,0,0,0,0,0,0,0.1,0,51,0,0,0,0,0,0
2020,7.2,1140,0,0,0,0,580,4,80,0.0,0,55,32,25.2,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,0
2021,7.0,1450,0,0,6.1,0,710,7,95,0.0,0,80,46,33.1,11.6,0,0,0,0,0,0,1800,240,0,0,0,0,0,0,0,47.1,0
2021,7.0,1480,0,0,6.0,0,768,7,110,0.0,0,80,38,39.9,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.1,0
2022,7.4,1440,0,0,6.4,0,792,9,125,0.0,0,75,42,55.6,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,0
2016,7.8,1220,0,8,0,0,469,4,350,0.0,0,120,38,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,1240,4,44,0,0,432,7,190,0.0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7.6,610,0,8,0,0,290,6,160,0.0,0,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7.6,710,0,4,0,0,380,2,105,0.0,0,120,32,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
2018,7.3,1140,0,4,0,0,590,3,120,0.0,0,60,34,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
2019,7.1,1060,0,0,0,0,510,4,75,0.0,0,50,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
2019,7.1,1810,0,4,0,0,960,8,135,0.0,0,95,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
2019,7.0,1180,0,8,0,0,650,8,80,0.0,0,40,0,19,4.0,0,0,0,0,0,0,0,0,0.6,0,58,0,0,0,0,0,0
2019,6.9,520,0,4,0,0,240,8,45,0.0,0,25,0,11,4.0,0,0,0,0,0,0,0,0,0.6,0,28,0,0,0,0,0,0
2019,6.9,0,0,0,0,0,340,9,55,0.0,0,75,0,13,3.0,0,0,0,0,0,0,0,0,0.8,0,24,0,0,0,0,0,0
2019,7.0,1120,0,0,0,0,570,8,85,0.0,0,80,0,9,11.0,0,0,0,0,0,0,0,0,0.4,0,42,0,0,0,0,0,0
2020,7.0,0,0,0,0,0,615,5,110,0.0,0,95,22,19.8,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3,0
2020,7.1,1120,0,0,0,0,595,6,100,0.0,0,80,18,21.6,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,0
2021,7.4,1580,0,0,6.2,0,640,5,110,0.0,0,95,40,29.2,14.4,0,0,0,0,0,0,1500,210,0,0,0,0,0,0,0,0,0
2021,7.1,1510,0,0,6.1,0,686,8,105,0.0,0,90,32,33.1,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7.0,1380,0,0,6.6,0,692,6,110,0.0,0,0,38,47.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7.2,1372,1,11,0,0,745,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2024,7.2,1375,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2025,7.2,1372,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2026,7.2,1374,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2027,7.2,1373,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2028,7.2,1374,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2029,7.2,1373,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2030,7.2,1374,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2031,7.2,1373,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
2032,7.2,1373,1,11,0,0,746,9,146,0.1,0,99,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0